state,office,district,potential_power,pr_close,pr_tip,realized_power
CO,president,,25.0,0.06063779823053885,0.020325,0.030811581225892552
UT,ushouse,4,12.5,0.1758689140605076,0.014,0.030777059960588826
TX,ushouse,21,12.5,0.1758689140605076,0.0137,0.03011755153286192
NM,president,,25.0,0.06063779823053885,0.019625,0.02975041975685812
VA,ushouse,7,12.5,0.1758689140605076,0.0135,0.02967787924771065
GA,ushouse,7,12.5,0.1758689140605076,0.0128,0.028139026249681214
NJ,ushouse,2,12.5,0.1758689140605076,0.0127,0.027919190107105574
IL,ussenate,IL,12.5,0.45254003964995115,0.0048713,0.02755572868933509
OK,ushouse,5,12.5,0.1758689140605076,0.0125,0.02747951782195431
MT,governor,,0.08117441481049119,0.3341769220685474,1.0,0.027126616092085453
CA,ushouse,25,12.5,0.1758689140605076,0.0115,0.025281156396197962
MN,ushouse,7,12.5,0.1758689140605076,0.0115,0.025281156396197962
NY,ushouse,11,12.5,0.1758689140605076,0.0111,0.024401811825895427
NM,ushouse,2,12.5,0.1758689140605076,0.0108,0.023742303398168522
CA,ushouse,21,12.5,0.1758689140605076,0.0105,0.02308279497044162
AZ,ushouse,6,12.5,0.1758689140605076,0.0105,0.02308279497044162
TX,ushouse,22,12.5,0.1758689140605076,0.0105,0.02308279497044162
TX,ushouse,24,12.5,0.1758689140605076,0.0104,0.022862958827865983
IN,ushouse,5,12.5,0.1758689140605076,0.0103,0.02264312268529035
NY,ushouse,2,12.5,0.1758689140605076,0.0102,0.022423286542714718
NE,ushouse,2,12.5,0.1758689140605076,0.0101,0.02220345040013908
MI,ushouse,3,12.5,0.1758689140605076,0.01,0.02198361425756345
MO,ushouse,2,12.5,0.1758689140605076,0.0099,0.021763778114987815
IL,ushouse,13,12.5,0.1758689140605076,0.0098,0.021543941972412176
NH,governor,,0.10365166723776059,0.20172299973093355,1.0,0.020908925242313595
MN,ushouse,1,12.5,0.1758689140605076,0.0095,0.020884433544685273
PA,ushouse,10,12.5,0.1758689140605076,0.0091,0.02000508897438274
