state,governor,statehouse,statesenate,president,ushouse,ussenate,sum
NC,21.5610307221722,12.27058908975942,11.1082977925782,11.005591786642373,14.027097014232973,48.91216963233139,118.88477603771656
PA,0.0,13.394861126570323,9.804233457770977,60.78562116264477,17.54084298598914,0.0,101.52555873297521
TX,0.0,30.283661845095594,0.6537695434110586,7.744461167758344,31.986243092097855,13.687346046872644,84.3554816952355
AZ,0.0,8.536513530711742,7.536755008666783,10.808649617828772,7.891985000055529,43.074924884474896,77.84882804173772
MI,0.0,12.441030513288132,0.0,31.41227592576926,4.657107756216514,23.952863130201454,72.46327732547536
IA,0.0,3.9332348347398813,0.09887319913550817,1.3264634311268966,15.114685053109882,49.91858281156256,70.39183932967474
GA,0.0,0.2524438772885841,0.2367827984384782,6.9045607419356365,10.65278540643538,42.67233545862458,60.71890828272266
ME,0.0,1.022650617156201,0.036869094282643844,0.6719203406581659,5.410053321592836,49.71731829133471,56.858811665024554
CO,0.0,0.14403184310252906,0.12111704756979173,5.097326722234363,1.4780042579609296,47.90575645310021,54.74623632396782
MN,0.0,4.388913710357795,6.649554556526489,11.532701709055246,8.951686166140725,18.51817761549797,50.04103375757823
SC,0.0,0.14562834153284407,0.14561691058788184,0.005792416729811776,5.577374558343131,37.438944656846246,43.31335688403991
FL,0.0,0.4995552993540568,0.5939940660057552,32.13053560026592,8.449722455889841,0.0,41.67380742151557
NM,0.0,0.05456382885024308,0.06137681149971728,5.693945645404976,5.214845212050827,26.167014394286266,37.19174589209203
MT,2.667710460991897,0.025623427551949143,0.02881346879346844,0.0,1.2827961484189199,32.80940780114609,36.814351306902324
VA,0.0,0.0,0.0,10.101974776791737,12.660640247438906,10.869371029406974,33.63198605363762
CA,0.0,0.9948056295222711,1.225012646879723,0.0,29.420650795260052,0.0,31.640469071662046
AK,0.0,0.869978383109305,0.018464252699962165,0.19694216881360038,0.6692849470011756,28.984989411751933,30.739659163375975
KS,0.0,0.0862467077720508,0.08077100875995025,0.0,5.661035176718277,22.94644995097028,28.774502844220557
MS,0.0,0.0,0.0,0.02896208364905888,0.3625293462923035,22.14130129196696,22.532792721908322
WI,0.0,0.15587487544985681,0.19653558386090722,21.252376981679404,0.8087193109597539,0.0,22.413506751949924
NY,0.0,0.5807529708998613,0.5198780721413738,0.011584833459623552,20.245869646785565,0.0,21.358085523286423
NH,2.1092447351541437,1.0458093023957395,1.2855810230456073,5.740284979243469,6.4139807420946005,4.428272335472314,21.02317311740587
NJ,0.0,0.0,0.0,0.3649222539781419,16.815784293404537,0.0,17.18070654738268
LA,0.0,0.0,0.0,0.005792416729811776,0.22309498233372524,16.90791049018863,17.13679788925217
NV,0.0,0.08154043193300783,0.1204788248425158,7.095710494019425,5.493713939967983,0.0,12.791443690762932
AR,0.0,0.06737120165642563,0.09483577530709714,0.0,1.6174386219195078,10.265517083328811,12.04516268221184
NE,0.0,0.0,0.04549242247885117,0.0,3.513745971756172,7.850101299016149,11.409339693251171
MO,9.114673694414064,0.1378001435743514,0.15411963029076478,0.0,1.7847598586698017,0.0,11.191353326948983
IL,0.0,0.30574469341070043,0.2951495521837657,0.7066748410370366,6.609188851636611,3.0192697303908265,10.936027668658939
TN,0.0,0.17205554258748554,0.1900128854261298,0.0,0.6971718197928913,7.648806586090992,8.708046833897498
SD,0.0,0.024897265508388,0.02295476115760595,0.0,0.0,6.642393406859817,6.690245433525812
OH,0.0,0.3090875116089559,0.33939926648551844,1.0426350113661196,4.908089611341955,0.0,6.599211400802549
KY,0.0,0.11608970238859659,0.1392013105794261,0.0,0.39041621908401913,5.635980227628645,6.281687459680686
WV,0.0891120988687075,0.04911820094104073,1.30318782534672,0.0,0.0,4.226977622547158,5.6683957477036255
AL,0.0,0.0,0.0,0.0,0.1673212367502939,5.434685514703487,5.60200675145378
UT,0.14924300533995657,0.07558510537141927,0.11218505411294691,0.0,5.159071466467395,0.0,5.496084631291718
MA,0.0,0.16184087194453212,0.19422174078546703,0.0,2.7886872791715653,1.6102671253093397,4.755017017210903
OR,0.0,0.11383662073389518,0.09447371420670006,0.017377250189435325,1.28279614841892,3.2205644433159826,4.729048176864933
WY,0.0,0.014220710086927883,0.014071483290515175,0.0,0.0,4.428272335472314,4.456564528849757
CT,0.0,0.09165228221235998,2.665346793223138,0.005792416729811776,1.4780042579609296,0.0,4.24079575012624
OK,0.0,0.09392712311104746,0.09491938529356009,0.0,3.3464247350058782,0.40255923315300884,3.937830476563495
IN,0.3619639111058048,0.15663714416114577,0.1842970693103179,0.0,1.9241942226283801,0.0,2.6270923472056484
DE,0.05136319748435939,0.028822772815040386,0.03430817299651458,0.005792416729811776,0.4461899646674505,2.0128565511596523,2.579333075852829
WA,0.354425563717004,0.17803994823091168,0.19896367840317083,0.0,1.7289861130863702,0.0,2.4604153034374567
MD,0.0,0.0,0.0,0.0,1.9799679682118112,0.0,1.9799679682118112
RI,0.0,0.02923346403876542,0.025792803042508302,0.0,0.8923799293349008,0.40255923315300884,1.3499654295691836
HI,0.0,0.032917367720763396,0.05062702032971991,0.0,0.7808324381680383,0.0,0.8643768262185216
VT,0.03328989304913549,0.01446615903529933,0.01680052663354389,0.0,0.3346424735005878,0.0,0.39919905221856655
ID,0.0,0.035301432935995754,0.0410371847923024,0.0,0.027886872791715655,0.0,0.1042254905200138
ND,0.043962944870471254,0.015122800071424915,0.018780484816468327,0.0,0.0,0.0,0.07786622975836449
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
