state_abbr,governor,statehouse,statesenate,ushouse,ussenate,sum
GA,63.81140031342796,1.5205246390601002,1.5205246390601002,3.31650546875,250.2906109375,320.45956599779817
AZ,66.86219086741792,1.024468738798136,1.024468738798136,52.129037499999995,176.66268359375,297.7028494387642
PA,71.73833318849859,1.8252739573196668,1.8252739573196668,62.60451953124999,158.44213984375003,296.4355404781379
NV,25.99361941009096,1.2686898429323687,5.047028446200899,38.52698203124999,220.823315625,291.6596353554742
WI,42.04434854553804,0.1650970674812503,0.1650970674812503,29.1326515625,198.22903515625,269.73622939925053
NC,0.0,1.485550603766359,1.485550603766359,38.979896874999994,165.13375546875002,207.08475355128274
OH,8.81827369322774,0.32986373966135085,0.32986373966135085,61.0996734375,106.88445078125,177.46212539130045
CA,0.8582110966121862,1.434758374542694,1.434758374542694,148.59989921874995,1.209328125,153.53695518944753
NH,0.10161863925948114,0.1955630957260103,0.1955630957260103,15.1069015625,136.6943890625,152.2940354557115
FL,62.91635598605109,0.6099145982660772,3.066673400627566,43.30450312500002,41.09700078125,150.99444789119477
MI,34.48364992232958,10.56391364189499,28.62133513139435,67.42587109374996,0.0,141.09476978936888
NY,4.9889611501208995,0.725313758216694,8.004355403177087,125.48663203125,0.94730703125,140.1525693740147
CO,8.637659191759738,2.345335246418355,0.0,32.53681796875,73.36590625,116.88571865692809
TX,58.25247041313724,0.8268406609905341,0.8268406609905341,49.58687031250001,0.0,109.49302204761833
OR,28.225586388879236,1.7134443832747908,6.81632519685272,37.95718593750001,7.679233593750001,82.39177550025676
IA,1.2227377176658982,0.44956948214079945,0.44956948214079945,62.560689062499996,7.19550234375,71.8780680881975
IL,5.880835639078283,5.113298357193892,5.113298357193892,40.20715,4.917934375000001,61.23251672846607
MN,20.03632149006207,16.25273044290344,5.998757222737056,11.644294531250003,0.0,53.93210368695257
KS,24.775915833544538,0.0821740913330504,0.0,23.6100125,1.14886171875,49.61696414362759
NM,11.355618531757898,0.8538165849692994,0.0,25.465502343750003,0.0,37.674937460477196
CT,10.628514059016346,1.4549610007176932,1.4549610007176932,16.421815625,6.7722375,36.73248918545173
NJ,0.0,0.0,0.0,34.96210390625,0.0,34.96210390625
ME,7.268764706092363,3.9076987190437165,3.9076987190437165,16.3925953125,0.0,31.476757456679792
VA,0.0,0.0,0.0,31.22190390625,0.0,31.22190390625
MD,8.251867312235296,0.4508643373139142,0.4508643373139142,18.759440625,0.12093281249999999,28.033969424363125
NE,0.3700139113480671,0.0,0.0,27.058009374999997,0.0,27.428023286348065
WA,0.0,0.2829705785764166,0.2829705785764166,9.642703125,11.77079375,21.97943803215283
LA,0.0,0.0,0.0,0.29220312499999995,20.49811171875,20.790314843750004
IN,0.0,0.19058102073868477,0.19058102073868477,10.358600781249999,4.21249296875,14.952255791477368
RI,1.2614988418618092,0.040061730793021326,0.040061730793021326,11.001447656249999,0.0,12.343069959697852
AK,1.4361516410574626,0.7700765937940857,0.103156677673351,8.108636718749999,1.47134921875,11.889370850024898
MO,0.0,0.1727214171890014,0.1727214171890014,3.14118359375,5.703997656249999,9.190624084378001
UT,0.0,0.09346989197011327,0.09346989197011327,0.46752499999999997,8.142809375,8.797274158940226
SC,5.2768374468935,0.1453499908174048,0.0,1.50484609375,0.34264296875,7.269676500210904
TN,0.18965247096117396,0.19531987894696318,0.19531987894696318,5.844062500000001,0.0,6.4243547288551
MT,0.0,0.030921768759720768,0.030921768759720768,2.41067578125,0.0,2.4725193187694416
OK,1.2377652781092836,0.11163376497841968,0.11163376497841968,0.10227109375,0.2821765625,1.8454804643161231
VT,0.30681075561059185,0.023605709648552662,0.023605709648552662,0.058440624999999996,1.26979453125,1.6822573311576974
MA,0.5762136501583282,0.2554011851752214,0.2554011851752214,0.3798640625,0.0,1.466880083008771
KY,0.0,0.12627193733646205,0.12627193733646205,0.5113554687499999,0.6449750000000001,1.4088743434229243
AL,0.03109224191915671,0.2822530179121524,0.2822530179121524,0.029220312499999998,0.08062187500000001,0.7054404652434615
DE,0.0,0.036689423873481355,0.036689423873481355,0.4967453124999999,0.0,0.5701241602469627
HI,0.09276787913010079,0.05271137376427038,0.05271137376427038,0.029220312499999998,0.30233203125,0.5297429704086415
AR,0.06430280772575506,0.08473092365381345,0.08473092365381345,0.18993203125,0.06046640624999999,0.48416309253338197
WV,0.0,0.0499263730606554,0.0499263730606554,0.10227109375,0.0,0.2021238398713108
ID,0.0037375878319898955,0.05322959802080711,0.05322959802080711,0.014610156249999999,0.020155468750000002,0.14496240887360412
SD,0.004703324806881539,0.025072296225295915,0.025072296225295915,0.0,0.020155468750000002,0.07500338600747337
ND,0.0,0.0217000743991358,0.0217000743991358,0.0,0.0,0.0434001487982716
WY,0.0013240880892732285,0.01620762704393456,0.01620762704393456,0.0,0.0,0.033739342177142355
MS,0.0,0.0,0.0,0.029220312499999998,0.0,0.029220312499999998
